time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
2249.000000000,-84084.,-0.78410E+06,-0.14921E+06,-0.11225E+07,-0.54980E+07,-0.56434E+06,-0.20789E+07,-0.20927E+07,-0.13740E+08,-12481.,-0.42921E+07,-0.16043E+07,-0.84104E+07,-0.39928E+07,-0.16810E+07,-0.10715E+07,-0.34224E+07,-0.15562E+07
2280.000000000,-81539.,-0.75875E+06,-0.14337E+06,-0.10746E+07,-0.52483E+07,-0.55223E+06,-0.19386E+07,-0.20237E+07,-0.13441E+08,-12193.,-0.41008E+07,-0.15277E+07,-0.81303E+07,-0.36379E+07,-0.16156E+07,-0.10425E+07,-0.31710E+07,-0.14639E+07
2310.000000000,-83790.,-0.77661E+06,-0.14533E+06,-0.10517E+07,-0.54576E+07,-0.55847E+06,-0.21780E+07,-0.20291E+07,-0.16085E+08,-11189.,-0.49431E+07,-0.21540E+07,-0.81021E+07,-0.39777E+07,-0.16332E+07,-0.16039E+07,-0.40589E+07,-0.14850E+07
2341.000000000,-87229.,-0.81888E+06,-0.14997E+06,-0.10438E+07,-0.58640E+07,-0.57937E+06,-0.25378E+07,-0.21129E+07,-0.18588E+08,-13984.,-0.59197E+07,-0.36511E+07,-0.84334E+07,-0.45367E+07,-0.17337E+07,-0.24293E+07,-0.51385E+07,-0.15899E+07
2371.000000000,-89951.,-0.84932E+06,-0.15959E+06,-0.11044E+07,-0.63927E+07,-0.59423E+06,-0.29497E+07,-0.22814E+07,-0.20684E+08,-9929.3,-0.69686E+07,-0.45331E+07,-0.93388E+07,-0.53128E+07,-0.18865E+07,-0.36252E+07,-0.63304E+07,-0.17605E+07
2402.000000000,-92003.,-0.87714E+06,-0.16948E+06,-0.11716E+07,-0.68517E+07,-0.60777E+06,-0.32743E+07,-0.24442E+07,-0.21538E+08,-3645.9,-0.75506E+07,-0.50538E+07,-0.10217E+08,-0.61281E+07,-0.20447E+07,-0.47611E+07,-0.71185E+07,-0.19448E+07
2433.000000000,-93616.,-0.90582E+06,-0.17912E+06,-0.12531E+07,-0.71861E+07,-0.61725E+06,-0.34459E+07,-0.26884E+07,-0.21443E+08,0.0000,-0.78309E+07,-0.51256E+07,-0.10863E+08,-0.70778E+07,-0.21841E+07,-0.56803E+07,-0.75321E+07,-0.20939E+07
2463.000000000,-94895.,-0.91596E+06,-0.18163E+06,-0.12763E+07,-0.72565E+07,-0.62320E+06,-0.34228E+07,-0.27345E+07,-0.20201E+08,0.0000,-0.75210E+07,-0.45853E+07,-0.11044E+08,-0.71827E+07,-0.21537E+07,-0.50684E+07,-0.72759E+07,-0.21202E+07
2494.000000000,-94315.,-0.89411E+06,-0.17780E+06,-0.12769E+07,-0.69638E+07,-0.61957E+06,-0.30698E+07,-0.26642E+07,-0.17712E+08,0.0000,-0.64469E+07,-0.36204E+07,-0.10874E+08,-0.66179E+07,-0.21010E+07,-0.36198E+07,-0.65784E+07,-0.20467E+07
2524.000000000,-91502.,-0.85906E+06,-0.16890E+06,-0.12198E+07,-0.65221E+07,-0.60360E+06,-0.26852E+07,-0.24354E+07,-0.15876E+08,-1634.1,-0.54469E+07,-0.24385E+07,-0.10038E+08,-0.56323E+07,-0.20118E+07,-0.19967E+07,-0.50833E+07,-0.19161E+07
